layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
64,True,0.6197999715805054,0.48410001397132874,0.4162,0.3923,0.48058,0.4531,0.50104,0.4563,0.5371,0.4699,0.56738,0.4835,0.59626,0.4799
64,True,0.6265400052070618,0.47609999775886536,0.4264,0.4108,0.48036,0.4534,0.49968,0.4566,0.53214,0.4716,0.56342,0.485,0.5949,0.4722
64,True,0.6189799904823303,0.47609999775886536,0.41606,0.3955,0.47712,0.451,0.49108,0.4545,0.51312,0.4563,0.55094,0.4765,0.58248,0.4721
64,True,0.6104400157928467,0.47209998965263367,0.41834,0.396,0.47602,0.4485,0.48572,0.4542,0.5166,0.469,0.55624,0.4857,0.57474,0.4762
64,True,0.6070600152015686,0.4794999957084656,0.41122,0.393,0.47462,0.4509,0.49326,0.4561,0.52858,0.4728,0.55914,0.4839,0.58186,0.4734
64,True,0.6152200102806091,0.47850000858306885,0.41738,0.4005,0.47806,0.4512,0.49454,0.4581,0.52378,0.4709,0.55854,0.4827,0.5833,0.4768
64,True,0.604420006275177,0.47209998965263367,0.41146,0.3931,0.47266,0.4472,0.48302,0.4493,0.51352,0.4703,0.54294,0.4792,0.57968,0.4763
64,True,0.6200199723243713,0.4765999913215637,0.41308,0.3935,0.47972,0.4524,0.49246,0.4511,0.53152,0.4692,0.5609,0.487,0.59252,0.4736
64,True,0.6035000085830688,0.47540000081062317,0.4129,0.4034,0.47386,0.4492,0.4782,0.4454,0.51192,0.4613,0.54602,0.4773,0.58082,0.4765
64,True,0.5863999724388123,0.45570001006126404,0.3934,0.3786,0.46526,0.4442,0.46832,0.4422,0.49824,0.4544,0.52766,0.4603,0.55286,0.456
64,True,0.5665199756622314,0.46059998869895935,0.39712,0.383,0.4612,0.4356,0.46052,0.4331,0.48884,0.4605,0.52018,0.4692,0.5482,0.4608
64,True,0.6268200278282166,0.46860000491142273,0.4169,0.4014,0.4786,0.4554,0.496,0.4603,0.52524,0.4688,0.56136,0.4831,0.59244,0.473
64,True,0.612779974937439,0.46230000257492065,0.4095,0.3957,0.4701,0.4472,0.48624,0.4496,0.51444,0.4636,0.54982,0.4758,0.57804,0.4624
64,True,0.5957199931144714,0.4595000147819519,0.40284,0.3826,0.46202,0.4455,0.4684,0.4404,0.49918,0.4617,0.52664,0.4675,0.54156,0.4508
64,True,0.5989800095558167,0.46810001134872437,0.40198,0.3855,0.46886,0.4468,0.4801,0.4576,0.50794,0.4611,0.53894,0.4732,0.56918,0.4714
64,True,0.5730000138282776,0.45570001006126404,0.40378,0.3882,0.46342,0.4409,0.4588,0.4351,0.48672,0.4437,0.51734,0.4631,0.54844,0.45
64,True,0.5845199823379517,0.4717999994754791,0.41108,0.3938,0.46254,0.4474,0.46802,0.4442,0.50156,0.4638,0.5332,0.4744,0.55006,0.472
64,False,0.6551200151443481,0.4726000130176544,0.41264,0.4064,0.49182,0.4646,0.50822,0.4635,0.54064,0.4787,0.59352,0.4847,0.62154,0.4689
64,False,0.6536200046539307,0.46219998598098755,0.40736,0.3965,0.49196,0.4697,0.50682,0.4664,0.53812,0.4759,0.59088,0.4754,0.6246,0.4605
64,False,0.6465399861335754,0.4690999984741211,0.41014,0.3951,0.48332,0.4645,0.50718,0.4698,0.5376,0.4818,0.58122,0.4858,0.61422,0.4622
64,False,0.652459979057312,0.46720001101493835,0.40942,0.3946,0.48788,0.4692,0.50294,0.4636,0.53384,0.4721,0.58406,0.4781,0.61314,0.4662
64,False,0.5777000188827515,0.42100000381469727,0.3866,0.3746,0.44478,0.4329,0.4453,0.4277,0.46468,0.4316,0.50534,0.4438,0.5307,0.4279
64,False,0.5934399962425232,0.4478999972343445,0.3848,0.3772,0.45828,0.4395,0.45608,0.4401,0.4801,0.4445,0.52604,0.4524,0.54966,0.441
64,False,0.6589599847793579,0.46970000863075256,0.42052,0.4122,0.49298,0.4671,0.51316,0.4699,0.5407,0.4803,0.58452,0.4898,0.6113,0.4701
64,False,0.6415799856185913,0.4629000127315521,0.40006,0.3892,0.478,0.4567,0.49336,0.4607,0.51506,0.4624,0.57012,0.4811,0.60066,0.4561
64,False,0.6395000219345093,0.4555000066757202,0.40534,0.391,0.47282,0.4524,0.48362,0.4513,0.51328,0.4599,0.56784,0.4753,0.60738,0.4579
64,False,0.6231799721717834,0.453000009059906,0.39894,0.3839,0.47812,0.4546,0.4821,0.4501,0.5184,0.461,0.56626,0.4712,0.59376,0.4572
64,False,0.6575599908828735,0.4722999930381775,0.41874,0.4042,0.4953,0.4676,0.5175,0.4705,0.54392,0.4799,0.59818,0.4827,0.62006,0.4698
64,False,0.6384199857711792,0.4700999855995178,0.40568,0.392,0.482,0.4607,0.49378,0.4593,0.5233,0.4736,0.56824,0.4803,0.60374,0.4611
64,False,0.6338800191879272,0.45249998569488525,0.3949,0.3837,0.47606,0.4547,0.49172,0.4543,0.52106,0.4643,0.56598,0.4729,0.59184,0.4571
64,False,0.6173200011253357,0.435699999332428,0.40032,0.3871,0.47022,0.4507,0.4758,0.4421,0.49944,0.4537,0.53932,0.4597,0.5654,0.444
64,False,0.620639979839325,0.4569999873638153,0.39502,0.3831,0.47026,0.458,0.47812,0.4495,0.51564,0.4538,0.56324,0.4643,0.60112,0.4482
64,False,0.6541000008583069,0.46540001034736633,0.41262,0.4014,0.49,0.4651,0.50622,0.465,0.53326,0.4709,0.58648,0.4805,0.61716,0.4695
64,False,0.6461799740791321,0.4742000102996826,0.41024,0.3968,0.48864,0.4679,0.50422,0.4609,0.53174,0.4746,0.58314,0.4845,0.62086,0.4717
64,False,0.6314200162887573,0.45649999380111694,0.402,0.3884,0.48276,0.4634,0.48946,0.4492,0.51938,0.4577,0.5588,0.4696,0.5905,0.4556
64,False,0.6247000098228455,0.4490000009536743,0.40364,0.3925,0.47594,0.4567,0.48288,0.4488,0.51096,0.46,0.5565,0.4646,0.587,0.4492
64,False,0.6550800204277039,0.4740999937057495,0.41344,0.4034,0.49452,0.4694,0.51494,0.4693,0.5421,0.4737,0.59454,0.4871,0.61984,0.4718
