frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.9968000054359436,0.9775999784469604,0.92145,0.9163,0.9176,0.9154,0.9619833333333333,0.9524,0.9576,0.9580833333333333,0.98045,0.9674,0.9675,0.9776666666666667,0.99335,0.974,0.9744,0.9923333333333333,0.99655,0.9768,0.9791,0.9955833333333334,0.9966333333333334,0.9769,0.9779,0.99635
True,0.9974666833877563,0.9710999727249146,0.9276,0.9273,0.9255,0.9216833333333333,0.9622,0.9524,0.9551,0.9575833333333333,0.9798666666666667,0.9611,0.9636,0.9792333333333333,0.99345,0.9728,0.9737,0.9927666666666667,0.9969833333333333,0.9746,0.9774,0.9964333333333333,0.9969166666666667,0.9738,0.9745,0.9968666666666667
True,0.996916651725769,0.9733999967575073,0.93225,0.9345,0.9352,0.92385,0.9656166666666667,0.9538,0.9579,0.96115,0.9824166666666667,0.962,0.9634,0.9798333333333333,0.9933833333333333,0.9708,0.9718,0.992,0.99645,0.9723,0.9737,0.9953833333333333,0.99745,0.9728,0.9739,0.99735
True,0.9969499707221985,0.9768999814987183,0.9294166666666667,0.9257,0.9261,0.9228333333333333,0.96385,0.9548,0.9556,0.9579333333333333,0.9854833333333334,0.9683,0.9687,0.9838833333333333,0.99625,0.973,0.9737,0.99545,0.9983,0.9745,0.9766,0.9974666666666666,0.9991666666666666,0.9755,0.9761,0.9988666666666667
True,0.9977166652679443,0.9751999974250793,0.93085,0.9264,0.9275,0.9246166666666666,0.9659666666666666,0.9533,0.9571,0.9631,0.9829166666666667,0.9653,0.9665,0.9817833333333333,0.99395,0.9733,0.9744,0.9927166666666667,0.9975833333333334,0.9757,0.978,0.9970333333333333,0.9976833333333334,0.9761,0.9766,0.9974166666666666
True,0.9971166849136353,0.9736999869346619,0.92365,0.919,0.9232,0.9174833333333333,0.9596333333333333,0.9499,0.9516,0.9561166666666666,0.9817,0.9644,0.965,0.9802833333333333,0.9937166666666667,0.972,0.9722,0.99335,0.99755,0.9755,0.9762,0.9962333333333333,0.9980833333333333,0.9734,0.9737,0.99825
True,0.9968500137329102,0.9772999882698059,0.93,0.9236,0.9277,0.9263,0.9660166666666666,0.9556,0.9576,0.9610666666666666,0.9825,0.9655,0.9673,0.9803,0.9932166666666666,0.9745,0.9747,0.9920333333333333,0.9962166666666666,0.9765,0.9778,0.99485,0.997,0.9755,0.9762,0.9967
True,0.9969000220298767,0.9767000079154968,0.9317166666666666,0.9285,0.9285,0.9239833333333334,0.9666833333333333,0.956,0.9569,0.9609166666666666,0.9854833333333334,0.9683,0.9689,0.9833833333333334,0.9941666666666666,0.9727,0.9728,0.9932666666666666,0.9972333333333333,0.9758,0.9765,0.9960333333333333,0.9977333333333334,0.9763,0.9764,0.9974166666666666
True,0.9969666600227356,0.9753000140190125,0.93085,0.9282,0.9301,0.9262166666666667,0.9630666666666666,0.9518,0.9569,0.95685,0.98235,0.9646,0.9651,0.9799333333333333,0.9919666666666667,0.9735,0.9748,0.9914666666666667,0.9964666666666666,0.9764,0.9775,0.9956,0.9970166666666667,0.9756,0.9763,0.9966
True,0.9975833296775818,0.9740999937057495,0.9219666666666667,0.9197,0.9211,0.9152833333333333,0.9640833333333333,0.9517,0.9558,0.9601333333333333,0.9823166666666666,0.9645,0.9654,0.9804666666666667,0.9933166666666666,0.9722,0.972,0.99215,0.9965666666666667,0.9764,0.9782,0.9956833333333334,0.99675,0.9753,0.9755,0.9963333333333333
