position,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
front,False,0.9981333613395691,0.9801999926567078,0.9658166666666667,0.9565,0.9933666666666666,0.9762,0.99775,0.9794,0.9982,0.9814,0.9981333333333333,0.9803,0.9983333333333333,0.9809
front,False,0.998533308506012,0.9807999730110168,0.9677166666666667,0.9602,0.9934166666666666,0.9795,0.9979,0.9817,0.9987666666666667,0.9828,0.9988666666666667,0.9818,0.99875,0.9809
front,False,0.9977499842643738,0.982200026512146,0.9662666666666667,0.9596,0.9931166666666666,0.978,0.9976,0.9795,0.9989333333333333,0.9817,0.9985333333333334,0.9808,0.9982333333333333,0.9799
front,False,0.9979333281517029,0.9807999730110168,0.96955,0.9613,0.99245,0.9783,0.9971333333333333,0.9805,0.9977,0.9814,0.99815,0.9811,0.9978166666666667,0.9806
front,False,0.9984999895095825,0.9776999950408936,0.9675666666666667,0.9612,0.9923,0.9769,0.9956333333333334,0.9783,0.997,0.9795,0.9968833333333333,0.9789,0.9972333333333333,0.9788
middle,True,0.9971500039100647,0.9771999716758728,0.9460666666666666,0.9414,0.9652166666666666,0.9536,0.98315,0.9695,0.9891,0.9717,0.9946833333333334,0.9749,0.9973,0.9759
middle,True,0.9965333342552185,0.9745000004768372,0.9419833333333333,0.934,0.9704833333333334,0.9598,0.9838166666666667,0.9678,0.9886833333333334,0.9706,0.99485,0.9736,0.9968666666666667,0.9755
middle,True,0.996649980545044,0.9731000065803528,0.9456833333333333,0.9385,0.96945,0.9562,0.9842833333333333,0.9693,0.9891,0.9713,0.9942166666666666,0.9738,0.99755,0.9749
middle,True,0.9976833462715149,0.9739999771118164,0.9508,0.9415,0.96925,0.9574,0.9844666666666667,0.9702,0.9906,0.9714,0.99535,0.9736,0.9956666666666667,0.9743
middle,True,0.9973000288009644,0.9753999710083008,0.9432666666666667,0.9367,0.96805,0.9539,0.98485,0.9674,0.9901333333333333,0.9708,0.99615,0.9768,0.9974333333333333,0.9767
middle,True,0.9978500008583069,0.9757999777793884,0.9464333333333333,0.9429,0.9717333333333333,0.9608,0.9860833333333333,0.9716,0.9911166666666666,0.972,0.9954166666666666,0.976,0.9983833333333333,0.9773
middle,True,0.9972500205039978,0.9747999906539917,0.9483666666666667,0.9402,0.9697,0.9553,0.9844666666666667,0.9689,0.9890166666666667,0.9703,0.9941,0.9764,0.9981,0.9778
middle,True,0.9971833229064941,0.9729999899864197,0.9432666666666667,0.9395,0.9658166666666667,0.9552,0.9806166666666667,0.9685,0.9869833333333333,0.9724,0.9943,0.9749,0.997,0.9761
middle,True,0.9972000122070312,0.9782999753952026,0.9364166666666667,0.9329,0.9715,0.9564,0.9837,0.967,0.9891833333333333,0.9723,0.9958333333333333,0.9746,0.9982166666666666,0.9775
middle,True,0.9976333379745483,0.9736999869346619,0.9384666666666667,0.9336,0.9649166666666666,0.9568,0.9809666666666667,0.9665,0.9883,0.9725,0.9937333333333334,0.9725,0.9966166666666667,0.9749
middle,True,0.9973999857902527,0.9717000126838684,0.9396666666666667,0.9336,0.9645333333333334,0.9524,0.9793833333333334,0.9633,0.9873666666666666,0.9703,0.9940833333333333,0.9725,0.9950166666666667,0.9726
middle,True,0.9976166486740112,0.9750999808311462,0.9392166666666667,0.9333,0.9654833333333334,0.9557,0.9836333333333334,0.9678,0.9870666666666666,0.9685,0.9940166666666667,0.9737,0.9962166666666666,0.9767
middle,True,0.9975333213806152,0.9743000268936157,0.94395,0.9386,0.9704833333333334,0.9585,0.9850666666666666,0.9707,0.9910666666666667,0.9741,0.9949,0.9733,0.99745,0.9735
middle,True,0.9973000288009644,0.9760000109672546,0.9465333333333333,0.9394,0.9683166666666667,0.9547,0.98585,0.9693,0.9900666666666667,0.9712,0.9959666666666667,0.9748,0.9977166666666667,0.9766
middle,True,0.9973333477973938,0.9753999710083008,0.9422,0.9361,0.9687333333333333,0.9597,0.9823,0.9677,0.9873166666666666,0.9719,0.9929666666666667,0.974,0.9964333333333333,0.9772
middle,True,0.996666669845581,0.9750000238418579,0.9423166666666667,0.9379,0.9661333333333333,0.9559,0.98095,0.9694,0.9887166666666667,0.9714,0.9957,0.9754,0.9973333333333333,0.9747
middle,True,0.9971333146095276,0.9750999808311462,0.9441666666666667,0.9368,0.96775,0.9555,0.9831166666666666,0.968,0.9899666666666667,0.9717,0.9956166666666667,0.9748,0.99725,0.9748
middle,True,0.9967166781425476,0.9749000072479248,0.9378333333333333,0.9359,0.9653,0.957,0.9818833333333333,0.9693,0.9880333333333333,0.9704,0.9955833333333334,0.9749,0.9979333333333333,0.9748
middle,True,0.996999979019165,0.9728999733924866,0.9405333333333333,0.9365,0.9663166666666667,0.9576,0.97855,0.9662,0.9869,0.9703,0.9932166666666666,0.9713,0.9958333333333333,0.9748
middle,True,0.9976333379745483,0.9757999777793884,0.94595,0.9431,0.9695666666666667,0.9539,0.9841666666666666,0.9679,0.9890333333333333,0.9697,0.9958666666666667,0.9748,0.9981666666666666,0.9757
middle,True,0.9966999888420105,0.9757999777793884,0.9407333333333333,0.9381,0.97355,0.9594,0.9839833333333333,0.9675,0.9873333333333333,0.9699,0.9950666666666667,0.9747,0.9977,0.976
middle,True,0.998199999332428,0.9733999967575073,0.9487833333333333,0.9444,0.9712166666666666,0.9582,0.9839666666666667,0.9676,0.9902166666666666,0.9731,0.9953333333333333,0.9748,0.9972666666666666,0.9743
middle,True,0.9970499873161316,0.9751999974250793,0.9552833333333334,0.948,0.9749833333333333,0.9625,0.9862666666666666,0.9701,0.9894166666666667,0.973,0.99645,0.9766,0.9974833333333334,0.977
middle,True,0.9969666600227356,0.9746999740600586,0.93895,0.9367,0.97365,0.9591,0.9831333333333333,0.9667,0.9874166666666667,0.9684,0.9937166666666667,0.9704,0.9969166666666667,0.9729
middle,True,0.9977166652679443,0.9758999943733215,0.9412333333333334,0.939,0.9745,0.9598,0.9874166666666667,0.9709,0.9922333333333333,0.9716,0.99535,0.9741,0.9974166666666666,0.9769
middle,False,0.9971833229064941,0.9790999889373779,0.9459666666666666,0.9424,0.9805666666666667,0.9662,0.99605,0.9782,0.9985833333333334,0.9791,0.9985666666666667,0.9795,0.9988,0.9784
middle,False,0.9968166947364807,0.9785000085830688,0.9500166666666666,0.9438,0.9797333333333333,0.9662,0.9960833333333333,0.9793,0.9983,0.978,0.99885,0.979,0.99845,0.9783
middle,False,0.9968500137329102,0.9771999716758728,0.9427333333333333,0.937,0.9805333333333334,0.964,0.9956,0.9765,0.9981833333333333,0.9781,0.9986666666666667,0.9779,0.9989166666666667,0.9766
middle,False,0.996999979019165,0.975600004196167,0.9413333333333334,0.936,0.9801833333333333,0.9673,0.9943,0.9766,0.9973333333333333,0.9777,0.9970666666666667,0.9774,0.9973,0.9761
middle,False,0.9976666569709778,0.977400004863739,0.9452833333333334,0.9434,0.9785166666666667,0.9633,0.9937666666666667,0.9752,0.9965,0.978,0.9964,0.977,0.9962,0.9767
middle,False,0.9971333146095276,0.9728000164031982,0.9439666666666666,0.9377,0.9829166666666667,0.9669,0.9952833333333333,0.9763,0.9965166666666667,0.9772,0.9966166666666667,0.9765,0.9964666666666666,0.975
