position,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
alternating,True,0.542460024356842,0.1906999945640564,0.1331,0.1238,0.24604,0.204,0.18322,0.1667,0.23584,0.1878,0.29038,0.2125,0.30952,0.179
alternating,True,0.474839985370636,0.17180000245571136,0.106,0.1028,0.22546,0.192,0.17096,0.1568,0.21636,0.1814,0.2614,0.1996,0.26932,0.1713
alternating,False,0.6861000061035156,0.15950000286102295,0.1014,0.1013,0.19738,0.1762,0.16732,0.1486,0.2073,0.1761,0.27246,0.1919,0.37264,0.1708
alternating,False,0.7242199778556824,0.17249999940395355,0.11456,0.1126,0.21132,0.1822,0.18654,0.1601,0.21936,0.1825,0.2901,0.2012,0.40656,0.1826
alternating,False,0.6602200269699097,0.147599995136261,0.09854,0.0994,0.18996,0.1701,0.162,0.1467,0.19772,0.17,0.25858,0.1826,0.3356,0.1637
alternating,False,0.6964600086212158,0.15479999780654907,0.1008,0.0969,0.19068,0.1724,0.1647,0.147,0.20074,0.1711,0.2601,0.1847,0.34914,0.1591
alternating,False,0.6919400095939636,0.1655000001192093,0.10886,0.1032,0.2099,0.1814,0.1814,0.1613,0.21752,0.1816,0.2904,0.197,0.38192,0.17
alternating,False,0.7115200161933899,0.16369999945163727,0.1053,0.0997,0.2065,0.178,0.17974,0.1604,0.21814,0.1762,0.28076,0.1902,0.36594,0.1743
alternating,False,0.6975799798965454,0.1679999977350235,0.12656,0.118,0.21908,0.191,0.18728,0.1597,0.22942,0.181,0.29504,0.1957,0.37734,0.176
alternating,False,0.6962400078773499,0.1671999990940094,0.10724,0.1058,0.20876,0.184,0.18412,0.167,0.21446,0.1786,0.28414,0.1945,0.36216,0.171
alternating,False,0.6922600269317627,0.15230000019073486,0.09384,0.0927,0.19484,0.1719,0.16578,0.1487,0.20638,0.1715,0.26434,0.1904,0.35692,0.1616
alternating,False,0.7055000066757202,0.16359999775886536,0.10742,0.1069,0.2094,0.1797,0.18068,0.1596,0.21948,0.183,0.28354,0.1905,0.37198,0.1704
alternating,False,0.544219970703125,0.12960000336170197,0.08082,0.0766,0.15912,0.1457,0.13794,0.127,0.17492,0.1527,0.21882,0.1636,0.26616,0.1528
alternating,False,0.7070599794387817,0.16590000689029694,0.11678,0.1131,0.21032,0.1843,0.18748,0.1606,0.22884,0.1832,0.29836,0.193,0.37764,0.1774
alternating,False,0.7034199833869934,0.15469999611377716,0.11586,0.1136,0.20728,0.1802,0.17524,0.1555,0.2218,0.1781,0.28412,0.1971,0.37056,0.1694
alternating,False,0.6312599778175354,0.1469999998807907,0.08768,0.0868,0.17502,0.1572,0.15036,0.1404,0.18708,0.1632,0.24144,0.1752,0.31128,0.1532
alternating,False,0.6901599764823914,0.1696999967098236,0.1217,0.1165,0.21052,0.183,0.18096,0.1614,0.22158,0.1768,0.29276,0.1939,0.36362,0.1754
alternating,False,0.7031999826431274,0.15870000422000885,0.11918,0.1158,0.20934,0.1856,0.17984,0.1597,0.2215,0.1851,0.28434,0.1979,0.37942,0.1771
alternating,False,0.700760006904602,0.16599999368190765,0.13344,0.1278,0.215,0.1875,0.18788,0.1636,0.22914,0.1849,0.30102,0.2037,0.39336,0.1831
alternating,False,0.710919976234436,0.16539999842643738,0.11538,0.1115,0.2056,0.1805,0.17364,0.1526,0.21974,0.1814,0.28912,0.1951,0.3995,0.1728
alternating,False,0.7016599774360657,0.16979999840259552,0.11498,0.111,0.21076,0.1817,0.18186,0.1612,0.22064,0.178,0.2916,0.1961,0.38282,0.174
alternating,False,0.6836400032043457,0.1664000004529953,0.1134,0.1095,0.20344,0.1806,0.18258,0.1596,0.21622,0.1814,0.2815,0.1902,0.3695,0.1718
alternating,False,0.7049199938774109,0.17520000040531158,0.13014,0.1226,0.21296,0.1844,0.19134,0.1661,0.233,0.1857,0.30186,0.2002,0.37832,0.1856
alternating,False,0.684939980506897,0.15160000324249268,0.09954,0.1015,0.19436,0.1681,0.1685,0.1495,0.20834,0.1708,0.2649,0.1848,0.34944,0.1682
