reservoir_layer_scaling_factor,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0.25,True,0.9952166676521301,0.9718999862670898,0.9301333333333334,0.9314,0.92445,0.9139,0.9814166666666667,0.9633,0.9891833333333333,0.9688,0.9855833333333334,0.9641,0.9949,0.9716
0.25,True,0.9953333139419556,0.968999981880188,0.9309166666666666,0.9306,0.93245,0.9191,0.98375,0.9609,0.9889333333333333,0.9645,0.9846166666666667,0.963,0.9954166666666666,0.9696
0.25,True,0.9962499737739563,0.9700000286102295,0.93295,0.9272,0.9314333333333333,0.9172,0.9838,0.964,0.99025,0.9666,0.9869833333333333,0.9622,0.9967666666666667,0.9722
0.25,True,0.996833324432373,0.9714000225067139,0.9337,0.9319,0.9392166666666667,0.9309,0.9864166666666667,0.9629,0.9906833333333334,0.9677,0.9894333333333334,0.9646,0.9968833333333333,0.9715
0.25,True,0.996649980545044,0.9706000089645386,0.93965,0.9337,0.9575333333333333,0.9398,0.9872,0.9657,0.9927166666666667,0.9676,0.99205,0.9663,0.9974,0.971
0.25,True,0.9965166449546814,0.9692999720573425,0.9312833333333334,0.9298,0.9210333333333334,0.911,0.9818,0.9625,0.9911333333333333,0.9674,0.98755,0.9647,0.9951,0.9689
0.25,True,0.9966333508491516,0.9690999984741211,0.9308666666666666,0.9277,0.9305166666666667,0.9192,0.9865166666666667,0.9669,0.99285,0.9714,0.9897,0.9638,0.9968333333333333,0.969
0.25,True,0.9965999722480774,0.9681000113487244,0.9381666666666667,0.9352,0.93325,0.9246,0.9835333333333334,0.9629,0.9912666666666666,0.9706,0.9878,0.9646,0.9953166666666666,0.968
0.25,True,0.9955833554267883,0.9668999910354614,0.9323833333333333,0.9309,0.9332166666666667,0.9223,0.9775,0.9597,0.98675,0.9656,0.9828833333333333,0.9601,0.9938666666666667,0.9675
0.25,True,0.9957833290100098,0.9706000089645386,0.9339,0.9321,0.9229666666666667,0.9084,0.9818666666666667,0.9586,0.9906666666666667,0.9661,0.9899166666666667,0.9656,0.9964666666666666,0.97
0.25,False,0.9968500137329102,0.9747999906539917,0.9486666666666667,0.9415,0.9665333333333334,0.948,0.9924333333333333,0.9719,0.9965,0.9755,0.9919,0.9694,0.9983833333333333,0.976
0.25,False,0.9968500137329102,0.9735000133514404,0.9481333333333334,0.9398,0.9661666666666666,0.948,0.9932666666666666,0.9717,0.9967833333333334,0.9742,0.9982666666666666,0.9753,0.99795,0.9737
0.25,False,0.9967333078384399,0.974399983882904,0.9432,0.9385,0.9654833333333334,0.9482,0.9938,0.9729,0.99605,0.975,0.99625,0.9745,0.99715,0.9738
0.25,False,0.9967666864395142,0.9742000102996826,0.9457333333333333,0.9395,0.9542166666666667,0.9385,0.9919666666666667,0.9736,0.9964,0.9752,0.99315,0.9694,0.99835,0.9757
0.25,False,0.9972833395004272,0.974399983882904,0.95195,0.9443,0.9631666666666666,0.9519,0.9913,0.9703,0.9954333333333333,0.974,0.9965,0.9749,0.9975666666666667,0.975
0.25,False,0.9972333312034607,0.9726999998092651,0.9484833333333333,0.9395,0.9607333333333333,0.9457,0.9934666666666667,0.9714,0.9972166666666666,0.975,0.9952,0.9726,0.9974666666666666,0.974
0.25,False,0.9965999722480774,0.9704999923706055,0.9366,0.9297,0.9556666666666667,0.9447,0.9917,0.9691,0.99595,0.9719,0.9929333333333333,0.9681,0.9965166666666667,0.9714
0.25,False,0.9961000084877014,0.9739999771118164,0.9471333333333334,0.9396,0.9592833333333334,0.947,0.9912166666666666,0.9713,0.9948833333333333,0.9733,0.9956333333333334,0.9732,0.99635,0.9734
0.25,False,0.9959166646003723,0.9732000231742859,0.94675,0.9422,0.95285,0.9401,0.9919666666666667,0.9723,0.9953833333333333,0.9753,0.9945333333333334,0.9738,0.9967833333333334,0.9759
0.25,False,0.9966833591461182,0.973800003528595,0.9427833333333333,0.9356,0.96815,0.952,0.9918166666666667,0.973,0.9963333333333333,0.9757,0.9959333333333333,0.9729,0.99795,0.9752
0.25,False,0.996666669845581,0.9724000096321106,0.9405833333333333,0.9345,0.95175,0.9383,0.99085,0.9674,0.9956,0.9718,0.9963333333333333,0.9723,0.9965,0.9713
0.25,False,0.9974499940872192,0.973800003528595,0.9530666666666666,0.945,0.9594666666666667,0.9474,0.9925666666666667,0.9703,0.9969333333333333,0.9728,0.9971333333333333,0.9715,0.9978833333333333,0.9734
0.25,False,0.9971500039100647,0.9763000011444092,0.94845,0.9418,0.9655333333333334,0.9527,0.99285,0.9728,0.9979,0.9758,0.9964333333333333,0.9748,0.9978333333333333,0.975
0.25,False,0.9970166683197021,0.9699000120162964,0.9575166666666667,0.9442,0.9636833333333333,0.9478,0.9944333333333333,0.9714,0.9967666666666667,0.9733,0.9971833333333333,0.9717,0.9977166666666667,0.972
0.25,False,0.9961000084877014,0.9753999710083008,0.9398666666666666,0.9309,0.9626666666666667,0.9487,0.9909333333333333,0.9722,0.9971333333333333,0.9755,0.9972,0.975,0.9980666666666667,0.9745
0.25,False,0.9962666630744934,0.9731000065803528,0.94935,0.9412,0.96525,0.951,0.9942333333333333,0.9707,0.99715,0.9732,0.99625,0.9717,0.99735,0.9725
0.25,False,0.9976333379745483,0.9722999930381775,0.94405,0.9306,0.9598166666666667,0.9415,0.9917166666666667,0.9703,0.99675,0.9734,0.9968,0.9718,0.9979666666666667,0.9728
0.25,False,0.9964666962623596,0.9789999723434448,0.9504,0.9462,0.9655333333333334,0.9522,0.9930833333333333,0.9761,0.99645,0.9778,0.9984166666666666,0.9775,0.9983333333333333,0.9787
0.25,False,0.9958500266075134,0.9735999703407288,0.9492166666666667,0.9398,0.9591333333333333,0.9457,0.9921833333333333,0.9698,0.9966666666666667,0.9747,0.9907166666666667,0.9694,0.9973333333333333,0.9742
0.25,False,0.9966999888420105,0.9718000292778015,0.94845,0.9405,0.9588833333333333,0.9421,0.9904166666666666,0.9685,0.9966166666666667,0.9729,0.9957833333333334,0.9723,0.9983833333333333,0.9739
0.25,False,0.9969499707221985,0.9682000279426575,0.94575,0.9378,0.9578333333333333,0.9461,0.9897333333333334,0.9702,0.9934333333333333,0.9722,0.9920166666666667,0.9687,0.9943,0.97
0.25,False,0.996666669845581,0.9747999906539917,0.9424666666666667,0.9327,0.9617833333333333,0.9491,0.99345,0.9741,0.9981666666666666,0.9746,0.9975666666666667,0.9747,0.9981833333333333,0.9742
0.25,False,0.9962499737739563,0.9702000021934509,0.94705,0.9401,0.9503,0.9436,0.9895166666666667,0.9688,0.9959666666666667,0.9712,0.99455,0.9704,0.9972666666666666,0.9717
0.25,False,0.9972166419029236,0.9753999710083008,0.9543,0.9463,0.9718333333333333,0.9566,0.9930166666666667,0.9737,0.99665,0.9765,0.9965166666666667,0.9762,0.9966666666666667,0.974
0.25,False,0.9973166584968567,0.9736999869346619,0.9487,0.9381,0.9594333333333334,0.9461,0.9939833333333333,0.9724,0.99745,0.9743,0.9976833333333334,0.9736,0.9977833333333334,0.976
0.5,True,0.9967666864395142,0.9775999784469604,0.9371,0.9351,0.9400333333333334,0.9315,0.9813,0.9646,0.9908166666666667,0.9693,0.9926,0.9724,0.99765,0.9757
0.5,True,0.99631667137146,0.9729999899864197,0.9392666666666667,0.9363,0.95225,0.9416,0.98375,0.9654,0.9923166666666666,0.9701,0.9946,0.9709,0.9977333333333334,0.9729
0.5,True,0.9967833161354065,0.9692999720573425,0.92665,0.9238,0.93715,0.9264,0.9758833333333333,0.9582,0.9877666666666667,0.9685,0.9906833333333334,0.9687,0.9953,0.9719
0.5,True,0.9966166615486145,0.9733999967575073,0.9315333333333333,0.9282,0.93425,0.9215,0.9721833333333333,0.956,0.9806333333333334,0.9612,0.9807666666666667,0.9613,0.9961166666666667,0.9729
0.5,True,0.9966999888420105,0.9710000157356262,0.92745,0.9252,0.9538,0.9426,0.9812333333333333,0.9603,0.9912666666666666,0.9691,0.9885333333333334,0.9647,0.9960166666666667,0.9708
0.5,True,0.9968500137329102,0.9675999879837036,0.93335,0.9309,0.9367,0.9281,0.9750833333333333,0.9583,0.988,0.9662,0.9895166666666667,0.9668,0.9941,0.9696
0.5,True,0.9969833493232727,0.9697999954223633,0.9392666666666667,0.9287,0.9421,0.9298,0.9829666666666667,0.9634,0.9922333333333333,0.9677,0.99305,0.966,0.9972666666666666,0.9721
0.5,True,0.99631667137146,0.9718999862670898,0.9363833333333333,0.9337,0.9426,0.9304,0.98215,0.9619,0.9906666666666667,0.9675,0.9911,0.969,0.9968833333333333,0.9722
