frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
False,0.7099199891090393,0.1688999980688095,0.1216,0.1179,0.1249,0.11736,0.21384,0.1866,0.2664,0.17624,0.1837,0.1582,0.1916,0.17054,0.22206,0.1826,0.2356,0.19128,0.29632,0.1998,0.3231,0.21476,0.37334,0.1779,0.2289,0.21186
False,0.7081599831581116,0.17399999499320984,0.1272,0.1218,0.1273,0.11842,0.21362,0.1843,0.2627,0.18088,0.18252,0.1585,0.1895,0.1643,0.22596,0.1857,0.2346,0.19528,0.29358,0.2012,0.3182,0.2186,0.38264,0.186,0.2375,0.22008
False,0.6905199885368347,0.1738000065088272,0.12206,0.1169,0.122,0.1154,0.21338,0.1839,0.2694,0.17828,0.19294,0.1651,0.2014,0.17186,0.22638,0.18,0.2375,0.19298,0.29526,0.1991,0.3178,0.21876,0.37874,0.1778,0.2323,0.22016
False,0.6931399703025818,0.164900004863739,0.11154,0.1058,0.1104,0.1068,0.20872,0.1796,0.2598,0.1711,0.17988,0.1549,0.1891,0.16218,0.21628,0.1797,0.2325,0.1845,0.28416,0.1939,0.3149,0.20236,0.3654,0.1737,0.2263,0.20268
False,0.6808000206947327,0.1598999947309494,0.10596,0.1036,0.1058,0.10058,0.19772,0.1739,0.2486,0.16618,0.17292,0.1565,0.1832,0.15536,0.21142,0.1791,0.23,0.18128,0.26986,0.187,0.3103,0.20206,0.367,0.1718,0.2269,0.20274
False,0.7034800052642822,0.1688999980688095,0.11628,0.1119,0.1135,0.11028,0.21558,0.187,0.2698,0.17782,0.17758,0.1524,0.1857,0.15902,0.22432,0.1816,0.23,0.19008,0.29414,0.2019,0.321,0.21232,0.3959,0.1846,0.2421,0.21596
False,0.7050600051879883,0.16619999706745148,0.12354,0.1216,0.1268,0.11646,0.21078,0.1862,0.261,0.17914,0.17876,0.1571,0.1828,0.16294,0.22258,0.179,0.2257,0.19086,0.28848,0.1938,0.3175,0.21216,0.36288,0.1733,0.2301,0.20798
False,0.7107399702072144,0.17219999432563782,0.11486,0.1119,0.1125,0.10838,0.20794,0.1787,0.2583,0.17576,0.17942,0.1632,0.1933,0.16138,0.21712,0.1786,0.2312,0.18548,0.2882,0.1954,0.3211,0.20746,0.3846,0.174,0.2278,0.21084
False,0.6800199747085571,0.1527000069618225,0.09692,0.0967,0.0964,0.09234,0.18764,0.1675,0.2316,0.159,0.1682,0.1498,0.184,0.15524,0.20392,0.1688,0.2274,0.17334,0.25506,0.1844,0.3058,0.18978,0.34684,0.1632,0.2255,0.18674
False,0.69896000623703,0.16910000145435333,0.1247,0.119,0.1201,0.11604,0.21504,0.1851,0.274,0.17676,0.18412,0.1601,0.1902,0.16478,0.2265,0.1845,0.2344,0.18954,0.29752,0.1988,0.3194,0.20978,0.36574,0.1742,0.2316,0.21474
False,0.6953999996185303,0.17679999768733978,0.12696,0.1196,0.1274,0.11872,0.21058,0.1873,0.2646,0.1806,0.18712,0.1631,0.1916,0.16856,0.22192,0.1833,0.2331,0.18862,0.29612,0.202,0.327,0.21688,0.38082,0.1842,0.2399,0.2189
False,0.7202200293540955,0.16699999570846558,0.11434,0.1118,0.1143,0.10858,0.21112,0.1843,0.2689,0.17338,0.17866,0.1566,0.1884,0.1623,0.22202,0.1789,0.2321,0.18996,0.29506,0.1973,0.322,0.2114,0.40154,0.1794,0.2348,0.21412
False,0.6924999952316284,0.16419999301433563,0.11058,0.1061,0.1036,0.10248,0.20898,0.1791,0.261,0.1725,0.1848,0.1633,0.1975,0.16808,0.22006,0.1771,0.2328,0.18802,0.28602,0.1935,0.3127,0.20536,0.36328,0.1671,0.2231,0.20902
False,0.6896600127220154,0.1688999980688095,0.12456,0.1195,0.123,0.11388,0.21396,0.1854,0.263,0.17962,0.19156,0.1638,0.1983,0.1712,0.22128,0.1817,0.2276,0.18902,0.3032,0.2022,0.3186,0.21368,0.39062,0.1818,0.236,0.21926
False,0.6187400221824646,0.13500000536441803,0.0944,0.0918,0.0962,0.09166,0.17524,0.1532,0.2105,0.14408,0.1567,0.143,0.1656,0.14198,0.18814,0.1613,0.207,0.16194,0.2445,0.1754,0.2933,0.17688,0.3146,0.1517,0.2091,0.17552
False,0.7111600041389465,0.16689999401569366,0.1271,0.1213,0.1271,0.11932,0.2073,0.1783,0.2632,0.17226,0.17654,0.1577,0.184,0.15956,0.22242,0.1883,0.2363,0.19046,0.29042,0.1984,0.3172,0.21366,0.40066,0.1781,0.2408,0.21404
False,0.6833800077438354,0.16680000722408295,0.1208,0.1165,0.1186,0.1106,0.21156,0.183,0.2587,0.17704,0.17972,0.157,0.1832,0.16132,0.22012,0.1813,0.2319,0.19066,0.28678,0.1965,0.3221,0.20902,0.36292,0.1794,0.2312,0.20934
