regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.01,False,0.00872000027447939,0.009999999776482582,0.16164,0.1418,0.15892,0.1392,0.13186,0.1164,0.0636,0.0591,0.01,0.01,0.01,0.01
l1_0.01,False,0.008559999987483025,0.009999999776482582,0.16556,0.1427,0.1643,0.1436,0.13242,0.1175,0.06804,0.0636,0.01,0.01,0.01,0.01
l1_0.01,False,0.009039999917149544,0.009999999776482582,0.16796,0.1437,0.16944,0.1461,0.13946,0.1246,0.06352,0.059,0.01,0.01,0.01,0.01
l1_0.01,False,0.009639999829232693,0.009999999776482582,0.16122,0.1404,0.16118,0.1412,0.13256,0.1215,0.05746,0.053,0.01,0.01,0.01,0.01
l1_0.01,False,0.008799999952316284,0.009999999776482582,0.163,0.1417,0.16352,0.1437,0.13368,0.1204,0.07102,0.0657,0.01,0.01,0.01,0.01
l1_0.01,False,0.00930000003427267,0.009999999776482582,0.15568,0.1346,0.15592,0.1359,0.13634,0.1186,0.0607,0.0583,0.01,0.01,0.01,0.01
l1_0.01,False,0.008940000087022781,0.009999999776482582,0.16344,0.143,0.16416,0.1416,0.1365,0.1279,0.07802,0.0718,0.01616,0.0159,0.01,0.01
l1_0.01,False,0.008659999817609787,0.009999999776482582,0.16548,0.1442,0.1662,0.1436,0.1467,0.1313,0.06672,0.0625,0.01022,0.0102,0.01,0.01
l1_0.01,False,0.008559999987483025,0.009999999776482582,0.16546,0.1434,0.16546,0.1428,0.142,0.1267,0.0636,0.057,0.0106,0.0101,0.01,0.01
batchnorm,True,0.8403599858283997,0.2371000051498413,0.1713,0.1504,0.28572,0.215,0.2984,0.2178,0.35382,0.2331,0.45684,0.2515,0.672,0.2524
batchnorm,True,0.8354600071907043,0.2378000020980835,0.17102,0.149,0.2862,0.216,0.29754,0.2175,0.35494,0.2352,0.461,0.2558,0.67574,0.254
batchnorm,True,0.8298599720001221,0.23180000483989716,0.169,0.1466,0.28326,0.2153,0.2923,0.2154,0.34492,0.2266,0.44996,0.2482,0.67588,0.2483
batchnorm,True,0.8313599824905396,0.2386000007390976,0.16706,0.1503,0.28568,0.2142,0.29416,0.2184,0.34846,0.232,0.44826,0.2506,0.66582,0.2493
batchnorm,True,0.8395199775695801,0.22920000553131104,0.17304,0.1505,0.2872,0.2107,0.29644,0.2138,0.35016,0.2312,0.45158,0.2433,0.671,0.246
batchnorm,True,0.8327000141143799,0.23579999804496765,0.17172,0.1491,0.28702,0.2153,0.2959,0.2145,0.35058,0.231,0.45146,0.2482,0.6864,0.249
batchnorm,True,0.8345199823379517,0.23880000412464142,0.17128,0.148,0.2889,0.2165,0.30132,0.2219,0.35802,0.2301,0.46228,0.25,0.71396,0.2575
batchnorm,True,0.838699996471405,0.23520000278949738,0.17394,0.1493,0.286,0.2175,0.29668,0.2211,0.35806,0.2327,0.46126,0.2494,0.69484,0.2549
batchnorm,True,0.8359400033950806,0.2305999994277954,0.16992,0.1468,0.2839,0.2161,0.29538,0.219,0.35122,0.2353,0.445,0.2485,0.6479,0.253
batchnorm,True,0.8386600017547607,0.22939999401569366,0.17384,0.1469,0.28652,0.2177,0.29814,0.2111,0.35072,0.2292,0.45302,0.2491,0.67146,0.2486
batchnorm,True,0.8396999835968018,0.23819999396800995,0.17392,0.1499,0.2858,0.2189,0.2976,0.2203,0.35638,0.2306,0.46328,0.2474,0.70198,0.2517
batchnorm,True,0.8339999914169312,0.2206999957561493,0.17592,0.1511,0.28748,0.2201,0.29588,0.2164,0.35018,0.2258,0.45038,0.2451,0.64046,0.2497
batchnorm,True,0.8366600275039673,0.23109999299049377,0.17064,0.1508,0.28334,0.2151,0.29476,0.2171,0.34988,0.2317,0.45096,0.248,0.6679,0.2472
batchnorm,True,0.8358200192451477,0.24009999632835388,0.16956,0.1496,0.28634,0.2187,0.29766,0.2174,0.35024,0.2285,0.45362,0.2443,0.69008,0.2556
batchnorm,True,0.8349999785423279,0.2371000051498413,0.175,0.1507,0.2844,0.2162,0.29544,0.2184,0.35448,0.2338,0.4523,0.2495,0.67644,0.2481
batchnorm,True,0.8316199779510498,0.23989999294281006,0.172,0.1483,0.28586,0.2143,0.30128,0.2186,0.36218,0.2329,0.4627,0.2506,0.6947,0.2484
batchnorm,True,0.8347399830818176,0.23759999871253967,0.1704,0.147,0.2872,0.2146,0.29608,0.2176,0.35286,0.234,0.45394,0.2509,0.68168,0.2539
