regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.001,False,0.9522666931152344,0.9556999802589417,0.8754166666666666,0.8782,0.90835,0.908,0.9013666666666666,0.9091,0.9185166666666666,0.9242,0.9232166666666667,0.9264,0.9520166666666666,0.9513
l1_0.001,False,0.9507499933242798,0.9491999745368958,0.8785333333333334,0.881,0.8912333333333333,0.8983,0.8953333333333333,0.899,0.9108166666666667,0.9128,0.9021666666666667,0.9073,0.9430333333333333,0.9418
l1_0.001,False,0.9537666440010071,0.9538999795913696,0.8927833333333334,0.8878,0.9238,0.9243,0.9127666666666666,0.9142,0.9158333333333334,0.9164,0.9249666666666667,0.9237,0.9471333333333334,0.9475
l1_0.001,False,0.9515166878700256,0.939300000667572,0.89695,0.8974,0.9160166666666667,0.9129,0.9167166666666666,0.9162,0.9205333333333333,0.9211,0.93345,0.9275,0.9355666666666667,0.9302
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.7398666666666667,0.7522,0.74505,0.7541,0.7316,0.7422,0.4554666666666667,0.4647,0.4729833333333333,0.4758,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.7507,0.7613,0.7658333333333334,0.7736,0.71835,0.7281,0.4126666666666667,0.4197,0.4304,0.4302,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.7248666666666667,0.7391,0.7298666666666667,0.7443,0.7113666666666667,0.7262,0.4073,0.4094,0.4257,0.4283,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.7149833333333333,0.7248,0.7234333333333334,0.734,0.6757166666666666,0.686,0.43093333333333333,0.4516,0.46473333333333333,0.4886,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.6868,0.7008,0.6970833333333334,0.7087,0.6712333333333333,0.6867,0.24026666666666666,0.2315,0.24668333333333334,0.2378,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.7498666666666667,0.7554,0.7521,0.7584,0.7186666666666667,0.7294,0.4245333333333333,0.4224,0.4498333333333333,0.4529,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.6982166666666667,0.7094,0.7073833333333334,0.7175,0.6957833333333333,0.7054,0.3712666666666667,0.3746,0.38466666666666666,0.3911,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.74185,0.751,0.7455833333333334,0.7558,0.72375,0.7366,0.5374333333333333,0.5447,0.5009166666666667,0.5145,0.09871666666666666,0.098
l1_0.01,True,0.11236666887998581,0.11349999904632568,0.73065,0.7369,0.7355,0.7414,0.7259166666666667,0.7315,0.5223333333333333,0.5325,0.4874,0.4943,0.09871666666666666,0.098
