layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
16,True,0.9771999716758728,0.9544000029563904,0.8641833333333333,0.8677,0.90795,0.9029,0.89975,0.8991,0.8973333333333333,0.8919,0.9556666666666667,0.9404,0.9615666666666667,0.9409
16,True,0.977066695690155,0.9473999738693237,0.8637833333333333,0.8623,0.8871,0.8803,0.8985166666666666,0.8921,0.9181,0.905,0.9509833333333333,0.9323,0.9593833333333334,0.9388
16,True,0.9785500168800354,0.9520999789237976,0.85255,0.8552,0.90505,0.8999,0.91915,0.9109,0.9207666666666666,0.9136,0.95885,0.9365,0.9632666666666667,0.941
16,True,0.9791499972343445,0.9526000022888184,0.87505,0.8821,0.8982333333333333,0.8976,0.9081,0.8963,0.9368833333333333,0.9253,0.9586666666666667,0.9395,0.9641333333333333,0.9384
16,True,0.9780499935150146,0.9502999782562256,0.86045,0.8546,0.9103166666666667,0.9058,0.9154833333333333,0.9062,0.9178833333333334,0.9063,0.9540833333333333,0.9384,0.9463166666666667,0.9289
16,True,0.978683352470398,0.951200008392334,0.8448833333333333,0.8438,0.8917166666666667,0.8906,0.8815833333333334,0.8753,0.9114,0.8961,0.9609833333333333,0.9421,0.96075,0.937
16,True,0.9797499775886536,0.9545000195503235,0.90335,0.8964,0.91935,0.9143,0.9213333333333333,0.9138,0.9317166666666666,0.9223,0.9535666666666667,0.9394,0.9545333333333333,0.9371
16,True,0.9798166751861572,0.9567000269889832,0.8646333333333334,0.867,0.9002333333333333,0.8932,0.9162333333333333,0.9097,0.9193,0.9062,0.9593833333333334,0.9427,0.94525,0.9258
16,True,0.9755666851997375,0.9556000232696533,0.84145,0.8434,0.88615,0.8848,0.8838166666666667,0.8767,0.9177833333333333,0.9078,0.9505333333333333,0.9321,0.9500333333333333,0.9289
16,True,0.9755833148956299,0.9510999917984009,0.86285,0.866,0.9087333333333333,0.9056,0.894,0.8909,0.9061166666666667,0.8992,0.9485333333333333,0.9304,0.9349166666666666,0.9198
16,True,0.9783666729927063,0.9556999802589417,0.8359333333333333,0.8385,0.9204666666666667,0.9156,0.9302166666666667,0.9223,0.9434333333333333,0.931,0.9607333333333333,0.9445,0.9626666666666667,0.9415
16,True,0.9784833192825317,0.9519000053405762,0.8656833333333334,0.869,0.9076,0.9044,0.9075666666666666,0.9082,0.92375,0.9188,0.9591166666666666,0.9465,0.9592166666666667,0.9424
16,False,0.9845499992370605,0.9614999890327454,0.87505,0.8736,0.9328333333333333,0.9247,0.9298833333333333,0.9211,0.9578833333333333,0.9425,0.9776666666666667,0.9576,0.9758333333333333,0.9564
16,False,0.9831833243370056,0.9581000208854675,0.8681166666666666,0.8651,0.91685,0.9154,0.9273833333333333,0.921,0.9571666666666667,0.9455,0.97765,0.9542,0.9785833333333334,0.9543
16,False,0.9813833236694336,0.9584000110626221,0.89165,0.8953,0.9327833333333333,0.9229,0.93785,0.9287,0.9529166666666666,0.9414,0.974,0.9525,0.9719333333333333,0.9501
16,False,0.9831333160400391,0.9563999772071838,0.8591,0.8629,0.91375,0.905,0.92505,0.9155,0.9523,0.9347,0.9735333333333334,0.9519,0.9697666666666667,0.9485
16,False,0.9790833592414856,0.9584000110626221,0.8555666666666667,0.8549,0.9270666666666667,0.9214,0.9263833333333333,0.913,0.9521333333333334,0.9391,0.9737833333333333,0.9558,0.9673333333333334,0.9489
16,False,0.9836333394050598,0.9559999704360962,0.8674666666666667,0.8653,0.9181,0.9117,0.9178,0.9125,0.9285,0.9193,0.9635833333333333,0.9444,0.96475,0.9465
16,False,0.983299970626831,0.9575999975204468,0.8720166666666667,0.8753,0.9220666666666667,0.9184,0.9212666666666667,0.9109,0.93965,0.9245,0.9744,0.9523,0.9733,0.9509
16,False,0.9837333559989929,0.9606000185012817,0.8693666666666666,0.8736,0.9194166666666667,0.9134,0.9144166666666667,0.9046,0.9321833333333334,0.9205,0.9727833333333333,0.9538,0.97245,0.9515
16,False,0.9844833612442017,0.963100016117096,0.8392166666666667,0.8411,0.9291,0.9252,0.9375333333333333,0.9303,0.9459166666666666,0.9317,0.97575,0.9565,0.9745166666666667,0.9558
16,False,0.9831166863441467,0.9616000056266785,0.8704833333333334,0.8713,0.9287666666666666,0.9204,0.9322,0.923,0.9365,0.9267,0.9752333333333333,0.9543,0.9742,0.9518
